產線,排程順序,工單號碼,產品ID,顯示內容,品種,密度,準重,預計數量,已完成數量,狀態,建立時間
Line 1,1,WO-1212-0001,立陽-BL-0-3709,[立陽] | 1260 | BL | 7200x600x25 | 13.824kg,BL,128.0,13.824,50,2,已完成,2025-12-12 13:37:57.751965
Line 1,2,WO-1212-0002,立陽-BL-1-3709,[立陽] | 1260 | BL | 3600x600x50 | 13.824kg,BL,128.0,13.824,50,29,生產中,2025-12-12 13:37:57.752071
Line 2,1,WO-1212-0003,華懋-BL-0-4838,[華懋] | 1260 | BL | 7200x600x25 | 13.824kg,BL,128.0,13.824,20,3,生產中,2025-12-12 13:49:23.788197
Line 2,2,WO-1212-0004,華懋-BL-1-4838,[華懋] | 1260 | BL | 3600x600x50 | 13.824kg,BL,128.0,13.824,20,0,待生產,2025-12-12 13:49:23.788379
Line 2,3,WO-0105-0007,庫存-BL-0-1321,[庫存] | 1260 | BL | 7200x600x25 | 13.824kg | 虛線箱貼藍條標籤,BL,128.0,13.824,55,0,待生產,2026-01-05 17:24:38.147043
Line 2,4,WO-0105-0008,高熱-BLOC(原反)-0-1632,[高熱] | 1400 | BLOC(原反) | 320x630x30 | 9.677kg | 高度：330~360,BLOC(原反),160.0,9.677,60,0,待生產,2026-01-05 17:24:38.147043
Line 2,5,WO-0105-0009,華懋-BL-0-4838,[華懋] | 1260 | BL | 7200x600x25 | 13.824kg,BL,128.0,13.824,55,0,待生產,2026-01-05 17:24:38.147043
Line 2,6,WO-0105-0010,宏閣-BL-0-0603,[宏閣] | 1260 | BL | 7200x630x25 | 10.886kg | 膠帶橫貼,BL,96.0,10.886,100,0,待生產,2026-01-05 17:25:08.365201
Line 3,1,WO-0105-0005,PRE-001,[中鋼] | 1260 | BL | 7200x600x25 | 13.82kg | 標準品,BL,128.0,13.82,100,0,待生產,2026-01-05 17:13:08.133662
Line 4,1,WO-0105-0006,宏閣-BL-0-0603,[宏閣] | 1260 | BL | 7200x630x25 | 10.886kg | 膠帶橫貼,BL,96.0,10.886,50,6,已完成,2026-01-05 17:19:41.029032
Line 4,2,WO-0106-0011,宏閣-BL-0-0603,[宏閣] | 1260 | BL | 7200x630x25 | 10.886kg | 膠帶橫貼,BL,96.0,10.886,100,5,生產中,2026-01-06 09:27:19.948866
Line 4,3,WO-0106-0012,宏閣-BL-0-0603,[宏閣] | 1260 | BL | 7200x630x25 | 10.886kg | 膠帶橫貼,BL,96.0,10.886,14,0,待生產,2026-01-06 09:40:42.128554
